Model,Precision,Recall,F1 Score
Logistic Regression,0.8877981707537054,0.8997448979591837,0.8846928862774618
BERT,0.9073530747744764,0.9196428571428571,0.9104404655292719
DistilBERT,0.9061896735199885,0.9196428571428571,0.9097097510151206
